games_2023,minutes_played_2023,goals_2023,assists_2023,goals_against_2023,goals_for_2023,clean_sheet_2023,position,sub_position,foot,height_in_cm,age,term_days_remaining,market_value_in_eur,highest_market_value_in_eur,yellow_cards_2023,red_cards_2023,current_club_domestic_competition_id
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,1.0,187.0,31.0,70,800000.0,4000000.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0.0,182.0,34.0,40,100000.0,350000.0,0.0,0.0,4
27.0,1406.0,0.0,0.0,18.0,54.0,15.0,2,4,1.0,194.0,31.0,435,25000000.0,70000000.0,9.0,0.0,0
24.0,1263.0,2.0,8.0,53.0,31.0,5.0,1,6,0.0,188.0,29.0,70,2500000.0,3500000.0,4.0,0.0,1
18.0,847.0,0.0,0.0,30.0,22.0,3.0,1,6,1.0,178.0,30.0,435,2000000.0,6000000.0,2.0,0.0,1
19.0,602.0,5.0,0.0,13.0,32.0,8.0,3,3,1.0,171.0,29.0,800,2500000.0,8000000.0,2.0,0.0,3
37.0,2806.0,1.0,6.0,43.0,65.0,17.0,2,2,0.0,178.0,29.0,1165,35000000.0,42000000.0,8.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0.0,199.0,28.0,70,600000.0,600000.0,0.0,0.0,1
24.0,1367.0,4.0,0.0,31.0,25.0,5.0,3,8,0.0,182.0,29.0,435,8000000.0,18000000.0,6.0,0.0,4
33.0,2802.0,1.0,0.0,29.0,52.0,17.0,2,4,0.0,185.0,29.0,1165,18000000.0,50000000.0,5.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,1.0,183.0,30.0,70,300000.0,750000.0,0.0,0.0,0
41.0,3317.0,1.0,2.0,33.0,53.0,17.0,1,1,1.0,186.0,29.0,70,20000000.0,25000000.0,7.0,1.0,2
33.0,1942.0,2.0,2.0,45.0,63.0,8.0,1,7,1.0,176.0,31.0,70,7000000.0,9000000.0,3.0,0.0,3
35.0,2893.0,4.0,6.0,47.0,51.0,10.0,1,6,1.0,178.0,28.0,800,16000000.0,20000000.0,9.0,0.0,0
9.0,458.0,1.0,1.0,14.0,9.0,0.0,2,5,1.0,175.0,31.0,800,12000000.0,40000000.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0.0,187.0,30.0,984,3500000.0,3500000.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,1.0,172.0,28.0,435,1000000.0,4000000.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,184.0,32.0,70,250000.0,300000.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1.0,174.0,31.0,70,1400000.0,2000000.0,0.0,0.0,2
12.0,95.0,0.0,1.0,15.0,17.0,6.0,3,3,1.0,186.0,35.0,70,1500000.0,10000000.0,2.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,188.0,29.0,70,150000.0,200000.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,1.0,191.0,32.0,70,500000.0,700000.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0.0,180.0,34.0,70,900000.0,3000000.0,0.0,0.0,2
28.0,2256.0,1.0,1.0,43.0,28.0,4.0,3,9,1.0,181.0,30.0,435,2500000.0,2500000.0,8.0,0.0,2
43.0,2787.0,5.0,6.0,34.0,110.0,20.0,1,6,0.0,173.0,30.0,435,80000000.0,100000000.0,7.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1.0,180.0,28.0,70,150000.0,300000.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,1.0,188.0,25.0,70,250000.0,275000.0,0.0,0.0,2
6.0,226.0,0.0,0.0,11.0,4.0,0.0,1,6,0.0,180.0,28.0,800,1800000.0,3000000.0,0.0,0.0,2
27.0,1908.0,2.0,2.0,27.0,51.0,8.0,2,4,1.0,187.0,31.0,435,10000000.0,11000000.0,5.0,1.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,0.0,175.0,26.0,70,2000000.0,3000000.0,0.0,0.0,4
34.0,2659.0,10.0,7.0,24.0,55.0,18.0,3,9,1.0,177.0,29.0,435,25000000.0,25000000.0,10.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,185.0,29.0,70,1000000.0,1000000.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,1.0,180.0,29.0,70,500000.0,1200000.0,0.0,0.0,4
